#weaver 45
       Value     Percentile TotalCount 1/(1-Percentile)

       4.000 0.000000000000         11           1.00
      28.000 0.100000000000      13283           1.11
      41.000 0.190000000000      24934           1.23
      50.000 0.271000000000      35835           1.37
      57.000 0.343900000000      45501           1.52
      63.000 0.409510000000      55035           1.69
      67.000 0.468559000000      61557           1.88
      71.000 0.521703100000      68194           2.09
      75.000 0.569532790000      75424           2.32
      78.000 0.612579511000      81429           2.58
      80.000 0.651321559900      85789           2.87
      82.000 0.686189403910      89990           3.19
      84.000 0.717570463519      94149           3.54
      86.000 0.745813417167      98738           3.93
      87.000 0.771232075450     101164           4.37
      89.000 0.794108867905     105784           4.86
      90.000 0.814697981115     108362           5.40
      91.000 0.833228183003     110772           6.00
      92.000 0.849905364703     113371           6.66
      92.000 0.864914828233     113371           7.40
      93.000 0.878423345409     115739           8.23
      94.000 0.890581010868     117878           9.14
      94.000 0.901522909782     117878          10.15
      95.000 0.911370618803     119594          11.28
      96.000 0.920233556923     121308          12.54
      96.000 0.928210201231     121308          13.93
      97.000 0.935389181108     122717          15.48
      98.000 0.941850262997     124071          17.20
      98.000 0.947665236697     124071          19.11
      99.000 0.952898713028     125224          21.23
      99.000 0.957608841725     125224          23.59
     100.000 0.961847957552     126401          26.21
     100.000 0.965663161797     126401          29.12
     100.000 0.969096845617     126401          32.36
     101.000 0.972187161056     127182          35.95
     101.000 0.974968444950     127182          39.95
     102.000 0.977471600455     127848          44.39
     102.000 0.979724440410     127848          49.32
     103.000 0.981751996369     128388          54.80
     103.000 0.983576796732     128388          60.89
     104.000 0.985219117059     128789          67.65
     104.000 0.986697205353     128789          75.17
     104.000 0.988027484817     128789          83.52
     105.000 0.989224736336     129106          92.81
     105.000 0.990302262702     129106         103.12
     106.000 0.991272036432     129353         114.57
     106.000 0.992144832789     129353         127.30
     107.000 0.992930349510     129547         141.45
     107.000 0.993637314559     129547         157.17
     108.000 0.994273583103     129691         174.63
     108.000 0.994846224793     129691         194.03
     109.000 0.995361602313     129798         215.59
     110.000 0.995825442082     129894         239.55
     110.000 0.996242897874     129894         266.16
     111.000 0.996618608086     129960         295.74
     111.000 0.996956747278     129960         328.60
     112.000 0.997261072550     130022         365.11
     112.000 0.997534965295     130022         405.67
     113.000 0.997781468766     130090         450.75
     113.000 0.998003321889     130090         500.83
     114.000 0.998202989700     130124         556.48
     115.000 0.998382690730     130160         618.31
     115.000 0.998544421657     130160         687.01
     116.000 0.998689979491     130182         763.35
     117.000 0.998820981542     130206         848.16
     117.000 0.998938883388     130206         942.40
     118.000 0.999044995049     130220        1047.11
     120.000 0.999140495544     130233        1163.46
     122.000 0.999226445990     130246        1292.73
     124.000 0.999303801391     130257        1436.37
     126.000 0.999373421252     130265        1595.97
     127.000 0.999436079127     130273        1773.30
     129.000 0.999492471214     130283        1970.33
     130.000 0.999543224093     130292        2189.26
     130.000 0.999588901683     130292        2432.51
     131.000 0.999630011515     130297        2702.79
     132.000 0.999667010363     130302        3003.10
     133.000 0.999700309327     130309        3336.77
     133.000 0.999730278394     130309        3707.53
     134.000 0.999757250555     130314        4119.47
     135.000 0.999781525499     130316        4577.19
     136.000 0.999803372950     130319        5085.77
     137.000 0.999823035655     130323        5650.86
     137.000 0.999840732089     130323        6278.73
     140.000 0.999856658880     130328        6976.37
     140.000 0.999870992992     130328        7751.52
     140.000 0.999883893693     130328        8612.80
     142.000 0.999895504324     130331        9569.77
     142.000 0.999905953891     130331       10633.08
     144.000 0.999915358502     130334       11814.54
     144.000 0.999923822652     130334       13127.26
     145.000 0.999931440387     130336       14585.85
     145.000 0.999938296348     130336       16206.50
     145.000 0.999944466713     130336       18007.22
     149.000 0.999950020042     130338       20008.02
     149.000 0.999955018038     130338       22231.13
     149.000 0.999959516234     130338       24701.26
     150.000 0.999963564611     130339       27445.84
     150.000 0.999967208150     130339       30495.38
     152.000 0.999970487335     130340       33883.76
     152.000 0.999973438601     130340       37648.62
     152.000 0.999976094741     130340       41831.80
     154.000 0.999978485267     130341       46479.78
     154.000 0.999980636740     130341       51644.20
     154.000 0.999982573066     130341       57382.44
     154.000 0.999984315760     130341       63758.27
     248.000 0.999985884184     130342       70842.52
     248.000 0.999987295765     130342       78713.91
     248.000 0.999988566189     130342       87459.90
     248.000 0.999989709570     130342       97177.67
     248.000 0.999990738613     130342      107975.19
     248.000 0.999991664752     130342      119972.43
     323.000 0.999992498276     130343      133302.70
     323.000 1.000000000000     130343
#[Mean    =       65.602, StdDeviation   =       24.717]
#[Max     =      323.000, TotalCount     =   130343.000]
#[Buckets =           12, SubBuckets     =         2048]

----------------------------------------------------------
 Requests/sec:     434.3551310016767
 Latency Median:     70
 Consistency Window Median:     90.0
  Inconsistencies:     130339
