#38
       Value     Percentile TotalCount 1/(1-Percentile)

       4.000 0.000000000000          8           1.00
       8.000 0.100000000000      15523           1.11
      10.000 0.190000000000      22836           1.23
      13.000 0.271000000000      31788           1.37
      16.000 0.343900000000      39270           1.52
      20.000 0.409510000000      47226           1.69
      24.000 0.468559000000      53355           1.88
      29.000 0.521703100000      59486           2.09
      35.000 0.569532790000      65591           2.32
      40.000 0.612579511000      69948           2.58
      45.000 0.651321559900      75104           2.87
      47.000 0.686189403910      78775           3.19
      49.000 0.717570463519      83243           3.54
      50.000 0.745813417167      85536           3.93
      51.000 0.771232075450      88078           4.37
      52.000 0.794108867905      90496           4.86
      54.000 0.814697981115      94338           5.40
      55.000 0.833228183003      96207           6.00
      56.000 0.849905364703      97807           6.66
      57.000 0.864914828233      99205           7.40
      58.000 0.878423345409     100459           8.23
      59.000 0.890581010868     101646           9.14
      61.000 0.901522909782     103514          10.15
      62.000 0.911370618803     104314          11.28
      63.000 0.920233556923     105011          12.54
      65.000 0.928210201231     106245          13.93
      66.000 0.935389181108     106771          15.48
      67.000 0.941850262997     107302          17.20
      69.000 0.947665236697     108278          19.11
      70.000 0.952898713028     108707          21.23
      71.000 0.957608841725     109122          23.59
      73.000 0.961847957552     109760          26.21
      74.000 0.965663161797     110057          29.12
      75.000 0.969096845617     110381          32.36
      77.000 0.972187161056     110964          35.95
      78.000 0.974968444950     111236          39.95
      79.000 0.977471600455     111480          44.39
      80.000 0.979724440410     111742          49.32
      81.000 0.981751996369     111955          54.80
      82.000 0.983576796732     112200          60.89
      82.000 0.985219117059     112200          67.65
      83.000 0.986697205353     112394          75.17
      84.000 0.988027484817     112614          83.52
      85.000 0.989224736336     112795          92.81
      85.000 0.990302262702     112795         103.12
      86.000 0.991272036432     112934         114.57
      87.000 0.992144832789     113073         127.30
      87.000 0.992930349510     113073         141.45
      88.000 0.993637314559     113190         157.17
      89.000 0.994273583103     113268         174.63
      90.000 0.994846224793     113347         194.03
      90.000 0.995361602313     113347         215.59
      91.000 0.995825442082     113424         239.55
      92.000 0.996242897874     113472         266.16
      93.000 0.996618608086     113512         295.74
      94.000 0.996956747278     113548         328.60
      95.000 0.997261072550     113586         365.11
      96.000 0.997534965295     113617         405.67
      96.000 0.997781468766     113617         450.75
      97.000 0.998003321889     113645         500.83
      98.000 0.998202989700     113675         556.48
      99.000 0.998382690730     113696         618.31
     100.000 0.998544421657     113723         687.01
     100.000 0.998689979491     113723         763.35
     101.000 0.998820981542     113737         848.16
     102.000 0.998938883388     113755         942.40
     103.000 0.999044995049     113771        1047.11
     103.000 0.999140495544     113771        1163.46
     104.000 0.999226445990     113787        1292.73
     105.000 0.999303801391     113796        1436.37
     105.000 0.999373421252     113796        1595.97
     107.000 0.999436079127     113807        1773.30
     108.000 0.999492471214     113810        1970.33
     110.000 0.999543224093     113819        2189.26
     111.000 0.999588901683     113821        2432.51
     112.000 0.999630011515     113828        2702.79
     113.000 0.999667010363     113837        3003.10
     113.000 0.999700309327     113837        3336.77
     113.000 0.999730278394     113837        3707.53
     114.000 0.999757250555     113840        4119.47
     115.000 0.999781525499     113845        4577.19
     115.000 0.999803372950     113845        5085.77
     116.000 0.999823035655     113848        5650.86
     117.000 0.999840732089     113852        6278.73
     117.000 0.999856658880     113852        6976.37
     118.000 0.999870992992     113855        7751.52
     118.000 0.999883893693     113855        8612.80
     119.000 0.999895504324     113858        9569.77
     119.000 0.999905953891     113858       10633.08
     119.000 0.999915358502     113858       11814.54
     120.000 0.999923822652     113860       13127.26
     120.000 0.999931440387     113860       14585.85
     120.000 0.999938296348     113860       16206.50
     121.000 0.999944466713     113862       18007.22
     121.000 0.999950020042     113862       20008.02
     121.000 0.999955018038     113862       22231.13
     216.000 0.999959516234     113863       24701.26
     216.000 0.999963564611     113863       27445.84
     217.000 0.999967208150     113864       30495.38
     217.000 0.999970487335     113864       33883.76
     217.000 0.999973438601     113864       37648.62
     228.000 0.999976094741     113865       41831.80
     228.000 0.999978485267     113865       46479.78
     228.000 0.999980636740     113865       51644.20
     259.000 0.999982573066     113866       57382.44
     259.000 0.999984315760     113866       63758.27
     259.000 0.999985884184     113866       70842.52
     259.000 0.999987295765     113866       78713.91
     259.000 0.999988566189     113866       87459.90
     259.000 0.999989709570     113866       97177.67
     259.000 0.999990738613     113866      107975.19
     287.000 0.999991664752     113867      119972.43
     287.000 1.000000000000     113867
#[Mean    =       32.318, StdDeviation   =       21.600]
#[Max     =      287.000, TotalCount     =   113867.000]
#[Buckets =           12, SubBuckets     =         2048]

----------------------------------------------------------
 Requests/sec:     379.52488280333984
 Latency Median:     27
 Consistency Window Median:     57.0
  Inconsistencies:     113866
