       Value     Percentile TotalCount 1/(1-Percentile)

       1.000 0.000000000000          5           1.00
       2.000 0.100000000000         83           1.11
       2.000 0.190000000000         83           1.23
       2.000 0.271000000000         83           1.37
       2.000 0.343900000000         83           1.52
       3.000 0.409510000000        101           1.69
       3.000 0.468559000000        101           1.88
       4.000 0.521703100000        115           2.09
       5.000 0.569532790000        129           2.32
       5.000 0.612579511000        129           2.58
       6.000 0.651321559900        154           2.87
       6.000 0.686189403910        154           3.19
       6.000 0.717570463519        154           3.54
       6.000 0.745813417167        154           3.93
       7.000 0.771232075450        168           4.37
       7.000 0.794108867905        168           4.86
       7.000 0.814697981115        168           5.40
       8.000 0.833228183003        186           6.00
       8.000 0.849905364703        186           6.66
       8.000 0.864914828233        186           7.40
       8.000 0.878423345409        186           8.23
       8.000 0.890581010868        186           9.14
       8.000 0.901522909782        186          10.15
       8.000 0.911370618803        186          11.28
       9.000 0.920233556923        203          12.54
       9.000 0.928210201231        203          13.93
       9.000 0.935389181108        203          15.48
       9.000 0.941850262997        203          17.20
       9.000 0.947665236697        203          19.11
       9.000 0.952898713028        203          21.23
       9.000 0.957608841725        203          23.59
       9.000 0.961847957552        203          26.21
       9.000 0.965663161797        203          29.12
       9.000 0.969096845617        203          32.36
       9.000 0.972187161056        203          35.95
       9.000 0.974968444950        203          39.95
       9.000 0.977471600455        203          44.39
       9.000 0.979724440410        203          49.32
       9.000 0.981751996369        203          54.80
       9.000 0.983576796732        203          60.89
       9.000 0.985219117059        203          67.65
       9.000 0.986697205353        203          75.17
       9.000 0.988027484817        203          83.52
       9.000 0.989224736336        203          92.81
       9.000 0.990302262702        203         103.12
       9.000 0.991272036432        203         114.57
       9.000 0.992144832789        203         127.30
       9.000 0.992930349510        203         141.45
       9.000 0.993637314559        203         157.17
       9.000 0.994273583103        203         174.63
       9.000 0.994846224793        203         194.03
      10.000 0.995361602313        204         215.59
      10.000 1.000000000000        204
#[Mean    =        4.392, StdDeviation   =        2.556]
#[Max     =       10.000, TotalCount     =      204.000]
#[Buckets =           12, SubBuckets     =         2048]

----------------------------------------------------------
 Requests/sec:     20.381656712591965
Latency Median:     4
  Consistency Window Median:     0
  Inconsistencies:     127
