Running 5m test @ http://34.159.181.82:12345/wrk2-api/post/compose
  1 threads and 1 connections
  Thread calibration: mean lat.: 15.979ms, rate sampling interval: 43ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency    21.06ms   28.66ms 200.70ms   98.16%
    Req/Sec     9.88     14.80    47.00     93.09%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   16.37ms
 75.000%   18.83ms
 90.000%   24.01ms
 99.000%  200.70ms
 99.900%  389.38ms
 99.990%  434.69ms
 99.999%  434.69ms
100.000%  434.69ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      12.383     0.000000            1         1.00
      14.095     0.100000          289         1.11
      14.655     0.200000          580         1.25
      15.159     0.300000          871         1.43
      15.703     0.400000         1154         1.67
      16.367     0.500000         1444         2.00
      16.703     0.550000         1586         2.22
      17.103     0.600000         1732         2.50
      17.567     0.650000         1876         2.86
      18.255     0.700000         2018         3.33
      18.831     0.750000         2165         4.00
      19.167     0.775000         2234         4.44
      19.727     0.800000         2307         5.00
      20.447     0.825000         2379         5.71
      21.391     0.850000         2450         6.67
      22.591     0.875000         2524         8.00
      23.247     0.887500         2558         8.89
      24.015     0.900000         2595        10.00
      25.391     0.912500         2630        11.43
      26.783     0.925000         2666        13.33
      28.047     0.937500         2702        16.00
      29.295     0.943750         2720        17.78
      30.431     0.950000         2739        20.00
      31.647     0.956250         2756        22.86
      33.759     0.962500         2774        26.67
      34.559     0.968750         2792        32.00
      36.095     0.971875         2801        35.56
      37.023     0.975000         2810        40.00
      40.511     0.978125         2819        45.71
      48.127     0.981250         2828        53.33
      72.511     0.984375         2837        64.00
     101.503     0.985938         2842        71.11
     147.071     0.987500         2846        80.00
     172.671     0.989062         2851        91.43
     207.871     0.990625         2855       106.67
     221.823     0.992188         2860       128.00
     225.535     0.992969         2862       142.22
     228.351     0.993750         2864       160.00
     231.807     0.994531         2867       182.86
     248.575     0.995313         2869       213.33
     282.367     0.996094         2871       256.00
     282.879     0.996484         2872       284.44
     286.207     0.996875         2873       320.00
     326.911     0.997266         2875       365.71
     331.519     0.997656         2876       426.67
     339.967     0.998047         2877       512.00
     339.967     0.998242         2877       568.89
     362.495     0.998437         2878       640.00
     389.375     0.998633         2879       731.43
     389.375     0.998828         2879       853.33
     403.199     0.999023         2880      1024.00
     403.199     0.999121         2880      1137.78
     403.199     0.999219         2880      1280.00
     419.071     0.999316         2881      1462.86
     419.071     0.999414         2881      1706.67
     419.071     0.999512         2881      2048.00
     419.071     0.999561         2881      2275.56
     419.071     0.999609         2881      2560.00
     434.687     0.999658         2882      2925.71
     434.687     1.000000         2882          inf
#[Mean    =       21.056, StdDeviation   =       28.662]
#[Max     =      434.432, Total count    =         2882]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  3000 requests in 5.00m, 1.47MB read
Requests/sec:     10.00
Transfer/sec:      5.03KB
