#xcweaver 39
       Value     Percentile TotalCount 1/(1-Percentile)

       6.000 0.000000000000         13           1.00
       9.000 0.100000000000      15020           1.11
      12.000 0.190000000000      26294           1.23
      14.000 0.271000000000      33563           1.37
      17.000 0.343900000000      42020           1.52
      20.000 0.409510000000      48595           1.69
      24.000 0.468559000000      56017           1.88
      28.000 0.521703100000      61828           2.09
      33.000 0.569532790000      67472           2.32
      38.000 0.612579511000      72580           2.58
      42.000 0.651321559900      77498           2.87
      44.000 0.686189403910      81124           3.19
      46.000 0.717570463519      85899           3.54
      47.000 0.745813417167      88402           3.93
      48.000 0.771232075450      90940           4.37
      49.000 0.794108867905      93464           4.86
      50.000 0.814697981115      95925           5.40
      51.000 0.833228183003      98156           6.00
      52.000 0.849905364703     100361           6.66
      53.000 0.864914828233     101729           7.40
      54.000 0.878423345409     103166           8.23
      55.000 0.890581010868     104176           9.14
      57.000 0.901522909782     106061          10.15
      58.000 0.911370618803     106794          11.28
      60.000 0.920233556923     108096          12.54
      61.000 0.928210201231     108701          13.93
      63.000 0.935389181108     109844          15.48
      64.000 0.941850262997     110380          17.20
      65.000 0.947665236697     110825          19.11
      67.000 0.952898713028     111642          21.23
      68.000 0.957608841725     111979          23.59
      70.000 0.961847957552     112681          26.21
      71.000 0.965663161797     113002          29.12
      72.000 0.969096845617     113325          32.36
      74.000 0.972187161056     113938          35.95
      75.000 0.974968444950     114178          39.95
      76.000 0.977471600455     114391          44.39
      78.000 0.979724440410     114749          49.32
      79.000 0.981751996369     114977          54.80
      80.000 0.983576796732     115173          60.89
      81.000 0.985219117059     115382          67.65
      81.000 0.986697205353     115382          75.17
      82.000 0.988027484817     115577          83.52
      83.000 0.989224736336     115733          92.81
      84.000 0.990302262702     115909         103.12
      85.000 0.991272036432     116043         114.57
      85.000 0.992144832789     116043         127.30
      86.000 0.992930349510     116166         141.45
      87.000 0.993637314559     116272         157.17
      87.000 0.994273583103     116272         174.63
      88.000 0.994846224793     116369         194.03
      89.000 0.995361602313     116452         215.59
      89.000 0.995825442082     116452         239.55
      90.000 0.996242897874     116536         266.16
      91.000 0.996618608086     116589         295.74
      91.000 0.996956747278     116589         328.60
      92.000 0.997261072550     116639         365.11
      93.000 0.997534965295     116674         405.67
      94.000 0.997781468766     116715         450.75
      94.000 0.998003321889     116715         500.83
      95.000 0.998202989700     116746         556.48
      95.000 0.998382690730     116746         618.31
      96.000 0.998544421657     116774         687.01
      97.000 0.998689979491     116795         763.35
      98.000 0.998820981542     116812         848.16
      98.000 0.998938883388     116812         942.40
      99.000 0.999044995049     116832        1047.11
     100.000 0.999140495544     116843        1163.46
     101.000 0.999226445990     116856        1292.73
     101.000 0.999303801391     116856        1436.37
     102.000 0.999373421252     116862        1595.97
     104.000 0.999436079127     116874        1773.30
     105.000 0.999492471214     116877        1970.33
     106.000 0.999543224093     116882        2189.26
     109.000 0.999588901683     116888        2432.51
     111.000 0.999630011515     116892        2702.79
     115.000 0.999667010363     116897        3003.10
     117.000 0.999700309327     116900        3336.77
     123.000 0.999730278394     116905        3707.53
     124.000 0.999757250555     116907        4119.47
     128.000 0.999781525499     116911        4577.19
     129.000 0.999803372950     116913        5085.77
     134.000 0.999823035655     116915        5650.86
     138.000 0.999840732089     116919        6278.73
     138.000 0.999856658880     116919        6976.37
     143.000 0.999870992992     116921        7751.52
     145.000 0.999883893693     116922        8612.80
     149.000 0.999895504324     116924        9569.77
     150.000 0.999905953891     116926       10633.08
     150.000 0.999915358502     116926       11814.54
     151.000 0.999923822652     116927       13127.26
     151.000 0.999931440387     116927       14585.85
     154.000 0.999938296348     116928       16206.50
     156.000 0.999944466713     116929       18007.22
     159.000 0.999950020042     116931       20008.02
     159.000 0.999955018038     116931       22231.13
     159.000 0.999959516234     116931       24701.26
     159.000 0.999963564611     116931       27445.84
     160.000 0.999967208150     116933       30495.38
     160.000 0.999970487335     116933       33883.76
     160.000 0.999973438601     116933       37648.62
     160.000 0.999976094741     116933       41831.80
     160.000 0.999978485267     116933       46479.78
     160.000 0.999980636740     116933       51644.20
     160.000 0.999982573066     116933       57382.44
     167.000 0.999984315760     116934       63758.27
     167.000 0.999985884184     116934       70842.52
     167.000 0.999987295765     116934       78713.91
     167.000 0.999988566189     116934       87459.90
     167.000 0.999989709570     116934       97177.67
     167.000 0.999990738613     116934      107975.19
     289.000 0.999991664752     116935      119972.43
     289.000 1.000000000000     116935
#[Mean    =       31.190, StdDeviation   =       19.845]
#[Max     =      289.000, TotalCount     =   116935.000]
#[Buckets =           12, SubBuckets     =         2048]

----------------------------------------------------------
 Requests/sec:     389.7454328860168
 Latency Median:     26
 Consistency Window Median:     53.0
  Inconsistencies:     0
