       Value     Percentile TotalCount 1/(1-Percentile)

       5.000 0.000000000000        103           1.00
       7.000 0.100000000000      21746           1.11
       7.000 0.190000000000      21746           1.23
       8.000 0.271000000000      34108           1.37
       9.000 0.343900000000      44843           1.52
       9.000 0.409510000000      44843           1.69
      10.000 0.468559000000      51131           1.88
      12.000 0.521703100000      57648           2.09
      14.000 0.569532790000      61235           2.32
      16.000 0.612579511000      64529           2.58
      19.000 0.651321559900      68870           2.87
      22.000 0.686189403910      72212           3.19
      26.000 0.717570463519      75962           3.54
      29.000 0.745813417167      78978           3.93
      31.000 0.771232075450      81788           4.37
      32.000 0.794108867905      83692           4.86
      33.000 0.814697981115      85769           5.40
      34.000 0.833228183003      88210           6.00
      35.000 0.849905364703      90706           6.66
      36.000 0.864914828233      93257           7.40
      36.000 0.878423345409      93257           8.23
      37.000 0.890581010868      95568           9.14
      37.000 0.901522909782      95568          10.15
      38.000 0.911370618803      97704          11.28
      38.000 0.920233556923      97704          12.54
      38.000 0.928210201231      97704          13.93
      39.000 0.935389181108      99286          15.48
      39.000 0.941850262997      99286          17.20
      40.000 0.947665236697     100398          19.11
      40.000 0.952898713028     100398          21.23
      41.000 0.957608841725     101407          23.59
      41.000 0.961847957552     101407          26.21
      41.000 0.965663161797     101407          29.12
      42.000 0.969096845617     102140          32.36
      42.000 0.972187161056     102140          35.95
      43.000 0.974968444950     102739          39.95
      43.000 0.977471600455     102739          44.39
      44.000 0.979724440410     103101          49.32
      44.000 0.981751996369     103101          54.80
      45.000 0.983576796732     103432          60.89
      46.000 0.985219117059     103724          67.65
      46.000 0.986697205353     103724          75.17
      47.000 0.988027484817     103907          83.52
      47.000 0.989224736336     103907          92.81
      48.000 0.990302262702     104092         103.12
      49.000 0.991272036432     104219         114.57
      49.000 0.992144832789     104219         127.30
      50.000 0.992930349510     104360         141.45
      50.000 0.993637314559     104360         157.17
      51.000 0.994273583103     104450         174.63
      52.000 0.994846224793     104554         194.03
      52.000 0.995361602313     104554         215.59
      53.000 0.995825442082     104630         239.55
      53.000 0.996242897874     104630         266.16
      54.000 0.996618608086     104702         295.74
      54.000 0.996956747278     104702         328.60
      55.000 0.997261072550     104773         365.11
      55.000 0.997534965295     104773         405.67
      56.000 0.997781468766     104824         450.75
      56.000 0.998003321889     104824         500.83
      56.000 0.998202989700     104824         556.48
      57.000 0.998382690730     104853         618.31
      58.000 0.998544421657     104882         687.01
      58.000 0.998689979491     104882         763.35
      59.000 0.998820981542     104893         848.16
      60.000 0.998938883388     104908         942.40
      61.000 0.999044995049     104918        1047.11
      62.000 0.999140495544     104926        1163.46
      64.000 0.999226445990     104931        1292.73
      65.000 0.999303801391     104938        1436.37
      66.000 0.999373421252     104948        1595.97
      67.000 0.999436079127     104952        1773.30
      69.000 0.999492471214     104961        1970.33
      70.000 0.999543224093     104964        2189.26
      72.000 0.999588901683     104970        2432.51
      73.000 0.999630011515     104973        2702.79
      78.000 0.999667010363     104977        3003.10
      85.000 0.999700309327     104980        3336.77
      89.000 0.999730278394     104983        3707.53
      95.000 0.999757250555     104986        4119.47
      99.000 0.999781525499     104990        4577.19
     100.000 0.999803372950     104991        5085.77
     103.000 0.999823035655     104993        5650.86
     107.000 0.999840732089     104995        6278.73
     145.000 0.999856658880     104997        6976.37
     149.000 0.999870992992     104999        7751.52
     149.000 0.999883893693     104999        8612.80
     152.000 0.999895504324     105002        9569.77
     152.000 0.999905953891     105002       10633.08
     155.000 0.999915358502     105003       11814.54
     158.000 0.999923822652     105004       13127.26
     158.000 0.999931440387     105004       14585.85
     159.000 0.999938296348     105005       16206.50
     160.000 0.999944466713     105006       18007.22
     160.000 0.999950020042     105006       20008.02
     169.000 0.999955018038     105007       22231.13
     169.000 0.999959516234     105007       24701.26
     217.000 0.999963564611     105009       27445.84
     217.000 0.999967208150     105009       30495.38
     217.000 0.999970487335     105009       33883.76
     217.000 0.999973438601     105009       37648.62
     217.000 0.999976094741     105009       41831.80
     217.000 0.999978485267     105009       46479.78
     217.000 0.999980636740     105009       51644.20
     233.000 0.999982573066     105010       57382.44
     233.000 0.999984315760     105010       63758.27
     233.000 0.999985884184     105010       70842.52
     233.000 0.999987295765     105010       78713.91
     233.000 0.999988566189     105010       87459.90
     233.000 0.999989709570     105010       97177.67
     254.000 0.999990738613     105011      107975.19
     254.000 1.000000000000     105011
#[Mean    =       17.754, StdDeviation   =       12.561]
#[Max     =      254.000, TotalCount     =   105011.000]
#[Buckets =           12, SubBuckets     =         2048]

----------------------------------------------------------
 Requests/sec:     350.0179343744681
 Latency Median:     11
 Consistency Window Median:     34.0
  Inconsistencies:     0
