#39
       Value     Percentile TotalCount 1/(1-Percentile)

       6.000 0.000000000000         53           1.00
      29.000 0.100000000000      11409           1.11
      43.000 0.190000000000      21477           1.23
      53.000 0.271000000000      31285           1.37
      59.000 0.343900000000      38836           1.52
      65.000 0.409510000000      46882           1.69
      69.000 0.468559000000      53059           1.88
      73.000 0.521703100000      59109           2.09
      76.000 0.569532790000      63953           2.32
      79.000 0.612579511000      69063           2.58
      82.000 0.651321559900      74439           2.87
      84.000 0.686189403910      78380           3.19
      86.000 0.717570463519      82184           3.54
      87.000 0.745813417167      84166           3.93
      88.000 0.771232075450      86259           4.37
      90.000 0.794108867905      90634           4.86
      91.000 0.814697981115      92814           5.40
      92.000 0.833228183003      94717           6.00
      93.000 0.849905364703      96885           6.66
      93.000 0.864914828233      96885           7.40
      94.000 0.878423345409      98623           8.23
      95.000 0.890581010868     100470           9.14
      96.000 0.901522909782     102149          10.15
      96.000 0.911370618803     102149          11.28
      97.000 0.920233556923     103518          12.54
      98.000 0.928210201231     104896          13.93
      98.000 0.935389181108     104896          15.48
      99.000 0.941850262997     105978          17.20
      99.000 0.947665236697     105978          19.11
     100.000 0.952898713028     107079          21.23
     100.000 0.957608841725     107079          23.59
     101.000 0.961847957552     107866          26.21
     102.000 0.965663161797     108520          29.12
     102.000 0.969096845617     108520          32.36
     103.000 0.972187161056     109058          35.95
     103.000 0.974968444950     109058          39.95
     104.000 0.977471600455     109507          44.39
     104.000 0.979724440410     109507          49.32
     105.000 0.981751996369     109913          54.80
     105.000 0.983576796732     109913          60.89
     106.000 0.985219117059     110227          67.65
     106.000 0.986697205353     110227          75.17
     107.000 0.988027484817     110461          83.52
     108.000 0.989224736336     110673          92.81
     108.000 0.990302262702     110673         103.12
     109.000 0.991272036432     110844         114.57
     109.000 0.992144832789     110844         127.30
     110.000 0.992930349510     110994         141.45
     111.000 0.993637314559     111111         157.17
     111.000 0.994273583103     111111         174.63
     112.000 0.994846224793     111195         194.03
     112.000 0.995361602313     111195         215.59
     113.000 0.995825442082     111279         239.55
     114.000 0.996242897874     111341         266.16
     114.000 0.996618608086     111341         295.74
     115.000 0.996956747278     111403         328.60
     116.000 0.997261072550     111445         365.11
     116.000 0.997534965295     111445         405.67
     117.000 0.997781468766     111490         450.75
     117.000 0.998003321889     111490         500.83
     118.000 0.998202989700     111521         556.48
     119.000 0.998382690730     111553         618.31
     119.000 0.998544421657     111553         687.01
     120.000 0.998689979491     111572         763.35
     121.000 0.998820981542     111585         848.16
     122.000 0.998938883388     111602         942.40
     123.000 0.999044995049     111616        1047.11
     123.000 0.999140495544     111616        1163.46
     125.000 0.999226445990     111632        1292.73
     126.000 0.999303801391     111640        1436.37
     127.000 0.999373421252     111646        1595.97
     128.000 0.999436079127     111653        1773.30
     129.000 0.999492471214     111658        1970.33
     130.000 0.999543224093     111663        2189.26
     131.000 0.999588901683     111666        2432.51
     132.000 0.999630011515     111670        2702.79
     133.000 0.999667010363     111673        3003.10
     134.000 0.999700309327     111677        3336.77
     136.000 0.999730278394     111681        3707.53
     137.000 0.999757250555     111687        4119.47
     137.000 0.999781525499     111687        4577.19
     138.000 0.999803372950     111690        5085.77
     139.000 0.999823035655     111692        5650.86
     140.000 0.999840732089     111694        6278.73
     140.000 0.999856658880     111694        6976.37
     142.000 0.999870992992     111697        7751.52
     144.000 0.999883893693     111699        8612.80
     144.000 0.999895504324     111699        9569.77
     146.000 0.999905953891     111700       10633.08
     149.000 0.999915358502     111702       11814.54
     149.000 0.999923822652     111702       13127.26
     220.000 0.999931440387     111703       14585.85
     230.000 0.999938296348     111704       16206.50
     230.000 0.999944466713     111704       18007.22
     263.000 0.999950020042     111705       20008.02
     263.000 0.999955018038     111705       22231.13
     285.000 0.999959516234     111706       24701.26
     285.000 0.999963564611     111706       27445.84
     288.000 0.999967208150     111707       30495.38
     288.000 0.999970487335     111707       33883.76
     289.000 0.999973438601     111708       37648.62
     289.000 0.999976094741     111708       41831.80
     289.000 0.999978485267     111708       46479.78
     289.000 0.999980636740     111708       51644.20
     301.000 0.999982573066     111709       57382.44
     301.000 0.999984315760     111709       63758.27
     301.000 0.999985884184     111709       70842.52
     301.000 0.999987295765     111709       78713.91
     301.000 0.999988566189     111709       87459.90
     301.000 0.999989709570     111709       97177.67
     301.000 0.999990738613     111709      107975.19
     309.000 0.999991664752     111710      119972.43
     309.000 1.000000000000     111710
#[Mean    =       67.228, StdDeviation   =       24.693]
#[Max     =      309.000, TotalCount     =   111710.000]
#[Buckets =           12, SubBuckets     =         2048]

----------------------------------------------------------
 Requests/sec:     372.3117898112531
 Latency Median:     71
 Consistency Window Median:     91.0
  Inconsistencies:     0
