#39
      Value     Percentile TotalCount 1/(1-Percentile)

       6.000 0.000000000000         42           1.00
      28.000 0.100000000000      11644           1.11
      40.000 0.190000000000      21526           1.23
      50.000 0.271000000000      30708           1.37
      57.000 0.343900000000      38926           1.52
      62.000 0.409510000000      46048           1.69
      67.000 0.468559000000      54101           1.88
      70.000 0.521703100000      59168           2.09
      73.000 0.569532790000      64182           2.32
      76.000 0.612579511000      69140           2.58
      79.000 0.651321559900      74350           2.87
      81.000 0.686189403910      77901           3.19
      83.000 0.717570463519      81773           3.54
      84.000 0.745813417167      83862           3.93
      86.000 0.771232075450      87842           4.37
      87.000 0.794108867905      90012           4.86
      88.000 0.814697981115      91993           5.40
      89.000 0.833228183003      93893           6.00
      90.000 0.849905364703      95769           6.66
      91.000 0.864914828233      97519           7.40
      92.000 0.878423345409      99223           8.23
      93.000 0.890581010868     100752           9.14
      94.000 0.901522909782     102232          10.15
      95.000 0.911370618803     103486          11.28
      95.000 0.920233556923     103486          12.54
      96.000 0.928210201231     104668          13.93
      97.000 0.935389181108     105750          15.48
      98.000 0.941850262997     106675          17.20
      98.000 0.947665236697     106675          19.11
      99.000 0.952898713028     107523          21.23
     100.000 0.957608841725     108358          23.59
     100.000 0.961847957552     108358          26.21
     101.000 0.965663161797     108968          29.12
     101.000 0.969096845617     108968          32.36
     102.000 0.972187161056     109522          35.95
     103.000 0.974968444950     109978          39.95
     103.000 0.977471600455     109978          44.39
     104.000 0.979724440410     110361          49.32
     105.000 0.981751996369     110719          54.80
     105.000 0.983576796732     110719          60.89
     106.000 0.985219117059     111025          67.65
     106.000 0.986697205353     111025          75.17
     107.000 0.988027484817     111271          83.52
     107.000 0.989224736336     111271          92.81
     108.000 0.990302262702     111483         103.12
     108.000 0.991272036432     111483         114.57
     109.000 0.992144832789     111637         127.30
     109.000 0.992930349510     111637         141.45
     110.000 0.993637314559     111757         157.17
     111.000 0.994273583103     111864         174.63
     111.000 0.994846224793     111864         194.03
     112.000 0.995361602313     111932         215.59
     113.000 0.995825442082     112007         239.55
     113.000 0.996242897874     112007         266.16
     114.000 0.996618608086     112061         295.74
     115.000 0.996956747278     112119         328.60
     115.000 0.997261072550     112119         365.11
     116.000 0.997534965295     112158         405.67
     117.000 0.997781468766     112196         450.75
     117.000 0.998003321889     112196         500.83
     118.000 0.998202989700     112217         556.48
     119.000 0.998382690730     112241         618.31
     120.000 0.998544421657     112262         687.01
     121.000 0.998689979491     112274         763.35
     122.000 0.998820981542     112285         848.16
     124.000 0.998938883388     112301         942.40
     125.000 0.999044995049     112306        1047.11
     128.000 0.999140495544     112319        1163.46
     132.000 0.999226445990     112327        1292.73
     133.000 0.999303801391     112335        1436.37
     136.000 0.999373421252     112344        1595.97
     138.000 0.999436079127     112352        1773.30
     139.000 0.999492471214     112357        1970.33
     140.000 0.999543224093     112363        2189.26
     144.000 0.999588901683     112368        2432.51
     147.000 0.999630011515     112373        2702.79
     152.000 0.999667010363     112376        3003.10
     180.000 0.999700309327     112380        3336.77
     188.000 0.999730278394     112383        3707.53
     196.000 0.999757250555     112386        4119.47
     198.000 0.999781525499     112390        4577.19
     200.000 0.999803372950     112391        5085.77
     203.000 0.999823035655     112395        5650.86
     207.000 0.999840732089     112396        6278.73
     211.000 0.999856658880     112397        6976.37
     213.000 0.999870992992     112399        7751.52
     214.000 0.999883893693     112400        8612.80
     218.000 0.999895504324     112402        9569.77
     220.000 0.999905953891     112403       10633.08
     222.000 0.999915358502     112405       11814.54
     222.000 0.999923822652     112405       13127.26
     223.000 0.999931440387     112407       14585.85
     223.000 0.999938296348     112407       16206.50
     223.000 0.999944466713     112407       18007.22
     227.000 0.999950020042     112408       20008.02
     227.000 0.999955018038     112408       22231.13
     239.000 0.999959516234     112409       24701.26
     239.000 0.999963564611     112409       27445.84
     245.000 0.999967208150     112410       30495.38
     245.000 0.999970487335     112410       33883.76
     259.000 0.999973438601     112411       37648.62
     259.000 0.999976094741     112411       41831.80
     259.000 0.999978485267     112411       46479.78
     259.000 0.999980636740     112411       51644.20
     276.000 0.999982573066     112412       57382.44
     276.000 0.999984315760     112412       63758.27
     276.000 0.999985884184     112412       70842.52
     276.000 0.999987295765     112412       78713.91
     276.000 0.999988566189     112412       87459.90
     276.000 0.999989709570     112412       97177.67
     276.000 0.999990738613     112412      107975.19
     281.000 0.999991664752     112413      119972.43
     281.000 1.000000000000     112413
#[Mean    =       65.151, StdDeviation   =       24.594]
#[Max     =      281.000, TotalCount     =   112413.000]
#[Buckets =           12, SubBuckets     =         2048]

----------------------------------------------------------
 Requests/sec:     374.63765162053113
 Latency Median:     69
 Consistency Window Median:     89.0
  Inconsistencies:     0
