       Value     Percentile TotalCount 1/(1-Percentile)

       1.000 0.000000000000       2501           1.00
       2.000 0.100000000000      75288           1.11
       2.000 0.190000000000      75288           1.23
       2.000 0.271000000000      75288           1.37
       2.000 0.343900000000      75288           1.52
       2.000 0.409510000000      75288           1.69
       3.000 0.468559000000     102011           1.88
       3.000 0.521703100000     102011           2.09
       4.000 0.569532790000     112417           2.32
       4.000 0.612579511000     112417           2.58
       5.000 0.651321559900     120141           2.87
       7.000 0.686189403910     124991           3.19
       9.000 0.717570463519     132575           3.54
      10.000 0.745813417167     135043           3.93
      12.000 0.771232075450     142400           4.37
      13.000 0.794108867905     145193           4.86
      14.000 0.814697981115     146823           5.40
      16.000 0.833228183003     150969           6.00
      18.000 0.849905364703     153729           6.66
      20.000 0.864914828233     157074           7.40
      21.000 0.878423345409     158568           8.23
      23.000 0.890581010868     160951           9.14
      25.000 0.901522909782     163651          10.15
      26.000 0.911370618803     164654          11.28
      28.000 0.920233556923     166611          12.54
      29.000 0.928210201231     167514          13.93
      31.000 0.935389181108     169288          15.48
      32.000 0.941850262997     170193          17.20
      33.000 0.947665236697     170832          19.11
      35.000 0.952898713028     171910          21.23
      36.000 0.957608841725     172406          23.59
      38.000 0.961847957552     173244          26.21
      39.000 0.965663161797     174135          29.12
      40.000 0.969096845617     174812          32.36
      41.000 0.972187161056     175284          35.95
      42.000 0.974968444950     175743          39.95
      43.000 0.977471600455     176282          44.39
      44.000 0.979724440410     176921          49.32
      44.000 0.981751996369     176921          54.80
      45.000 0.983576796732     177687          60.89
      45.000 0.985219117059     177687          67.65
      45.000 0.986697205353     177687          75.17
      46.000 0.988027484817     178089          83.52
      46.000 0.989224736336     178089          92.81
      47.000 0.990302262702     178490         103.12
      47.000 0.991272036432     178490         114.57
      48.000 0.992144832789     178730         127.30
      49.000 0.992930349510     178910         141.45
      49.000 0.993637314559     178910         157.17
      50.000 0.994273583103     179055         174.63
      51.000 0.994846224793     179152         194.03
      52.000 0.995361602313     179226         215.59
      53.000 0.995825442082     179283         239.55
      55.000 0.996242897874     179389         266.16
      56.000 0.996618608086     179433         295.74
      57.000 0.996956747278     179477         328.60
      59.000 0.997261072550     179550         365.11
      60.000 0.997534965295     179596         405.67
      61.000 0.997781468766     179640         450.75
      62.000 0.998003321889     179679         500.83
      63.000 0.998202989700     179732         556.48
      64.000 0.998382690730     179766         618.31
      64.000 0.998544421657     179766         687.01
      65.000 0.998689979491     179804         763.35
      66.000 0.998820981542     179835         848.16
      66.000 0.998938883388     179835         942.40
      67.000 0.999044995049     179866        1047.11
      68.000 0.999140495544     179889        1163.46
      68.000 0.999226445990     179889        1292.73
      69.000 0.999303801391     179915        1436.37
      69.000 0.999373421252     179915        1595.97
      70.000 0.999436079127     179935        1773.30
      70.000 0.999492471214     179935        1970.33
      71.000 0.999543224093     179952        2189.26
      71.000 0.999588901683     179952        2432.51
      72.000 0.999630011515     179965        2702.79
      72.000 0.999667010363     179965        3003.10
      73.000 0.999700309327     179978        3336.77
      73.000 0.999730278394     179978        3707.53
      74.000 0.999757250555     179984        4119.47
      75.000 0.999781525499     179994        4577.19
      75.000 0.999803372950     179994        5085.77
      75.000 0.999823035655     179994        5650.86
      76.000 0.999840732089     180000        6278.73
      76.000 0.999856658880     180000        6976.37
      77.000 0.999870992992     180007        7751.52
      77.000 0.999883893693     180007        8612.80
      77.000 0.999895504324     180007        9569.77
      78.000 0.999905953891     180009       10633.08
      78.000 0.999915358502     180009       11814.54
      79.000 0.999923822652     180011       13127.26
      80.000 0.999931440387     180014       14585.85
      80.000 0.999938296348     180014       16206.50
      81.000 0.999944466713     180017       18007.22
      81.000 0.999950020042     180017       20008.02
      81.000 0.999955018038     180017       22231.13
      81.000 0.999959516234     180017       24701.26
      82.000 0.999963564611     180018       27445.84
      83.000 0.999967208150     180019       30495.38
      83.000 0.999970487335     180019       33883.76
      84.000 0.999973438601     180020       37648.62
      84.000 0.999976094741     180020       41831.80
      87.000 0.999978485267     180021       46479.78
      87.000 0.999980636740     180021       51644.20
      87.000 0.999982573066     180021       57382.44
      96.000 0.999984315760     180022       63758.27
      96.000 0.999985884184     180022       70842.52
      96.000 0.999987295765     180022       78713.91
      96.000 0.999988566189     180022       87459.90
      97.000 0.999989709570     180023       97177.67
      97.000 0.999990738613     180023      107975.19
      97.000 0.999991664752     180023      119972.43
      97.000 0.999992498276     180023      133302.70
      97.000 0.999993248449     180023      148114.11
      97.000 0.999993923604     180023      164571.23
      99.000 0.999994531244     180024      182856.93
      99.000 1.000000000000     180024
#[Mean    =        8.390, StdDeviation   =       10.908]
#[Max     =       99.000, TotalCount     =   180024.000]
#[Buckets =           12, SubBuckets     =         2048]

----------------------------------------------------------
 Requests/sec:     600.0456612710465
Latency Median:     3
  Consistency Window Median:     1.0
  Inconsistencies:     0
